CallSign,Latitude,Longitude,Band,Mode
9Y4DZ,10.145833,-61.541667,HF,VARA HF
AA6JP,36.979167,-121.958333,2M,VARA FM
AB8FJ,39.270833,-84.291667,2M,PACKET
AC5BX,34.059667,-106.903667,40M,VARA HF
AC7SR,46.703667,-122.999667,2M,VARA FM
AC8NP,41.104167,-83.208333,40M,VARA HF
AC9DE,39.9375,-88.958333,2M,VARA FM
AC9XU,41.052988,-84.826416,TELNET,SMTP
AD4BL,64.854167,-147.208333,TELNET,SMTP
AD7FC,46.604167,-120.541667,80M,VARA HF
AD8CM,39.979167,-83.041667,2M,PACKET
AE5ME,36.020833,-95.791667,40M,VARA HF
AE5MI,30.505333,-89.162333,80M,VARA HF
AF1R,42.291833,-71.244667,TELNET,SMTP
AG7QP,47.645833,-117.291667,2M,VARA FM
AI3KS,39.903167,-76.8455,40M,VARA HF
DV1OTT,14.354167,120.958333,2M,VARA FM
J73HGL,15.3125,-61.375,20M,VARA HF
K0EAV,37.0625,-93.291667,2M,PACKET
K0WET,39.6516,-104.894652,2M,VARA FM
K2ERK,40.167167,-74.275833,2M,VARA FM
K3BBC,40.663,-80.308,70CM,VARA FM
K3JRZ,39.604167,-75.708333,2M,PACKET
K3LLH,35.89192,-86.822619,TELNET,SMTP
K4HVF,33.770833,-87.291667,VHF,VARA FM
K5ANP,32.995679,-96.780393,TELNET,SMTP
K5BBC,29.479167,-95.541667,VHF,PACKET
K5FIT,32.3508442,-90.0654828,40M,VARA HF
K6JGA,40.567,-122.321,2M,PACKET
K6KUF,34.061233,-106.897695,HF,PACTOR
K6RKY,35.489833,-120.636,40M,VARA HF
K7DDE,46.5625,-114.041667,80M,VARA HF
K7MSO,46.895833,-113.958333,30M,VARA HF
K7SPS,43.979167,-116.791667,HF,VARA HF
K8EAF,39.229167,-84.375,VHF,PACKET
K8ETA,40.645833,-80.625,80M,VARA HF
K8JWL,40.229167,-83.208333,2M,PACKET
K8PJW,41.3125,-81.458333,HF,VARA HF
K9LJB,39.770833,-89.708333,80M,VARA HF
K9NY,44.8125,-91.375,TELNET,SMTP
KA0AZS,39.686833,-84.2155,2M,VARA FM
KA2ENE,43.1875,-77.541667,2M,VARA FM
KA2R,41.6875,-73.791667,40M,VARA HF
KA3EHL,30.145833,-81.791667,2M,PACKET
KA7RLM,47.179333,-122.2495,70CM,VARA FM
KA9JDE,43.979167,-88.791667,20M,VARA HF
KA9WRZ,41.382167,-89.209333,2M,PACKET
KB2HWL,42.604167,-73.708333,,
KB7WHO,43.020833,-111.958333,2M,PACKET
KB8UNJ,41.043667,-80.650667,40M,VARA HF
KB9GO,44.525833,-89.785833,80M,VARA HF
KB9OLD,42.520833,-88.541667,TELNET,SMTP
KC1KVR,42.020833,-85.958333,40M,VARA HF
KC1UIX,43.354167,-70.458333,2M,PACKET
KC3PCS,40.354167,-75.958333,80M,VARA HF
KC4TS,37.520833,-77.708333,2M,VARA FM
KC7LOX,31.41642,-100.49667,40M,VARA HF
KC9EVZ,44.8125,-90.958333,TELNET,SMTP
KC9HQV,44.0865,-78.6545,40M,PACTOR
KC9UJP,38.270833,-86.125,TELNET,SMTP
KD0QQU,38.505833,-90.944667,2M,VARA FM
KD8GTX,42.393,-86.2805,TELNET,SMTP
KD8JIP,46.520833,-87.458333,40M,VARA HF
KD8YNG,41.0625,-85.291667,2M,VARA FM
KD9OSV,46.604167,-91.291667,40M,VARA HF
KE0TVT,34.817925,-106.785257,2M,VARA FM
KE2AIO,42.729167,-78.791667,2M,VARA FM
KE4DHX,36.979167,-86.958333,2M,PACKET
KE4ROC,34.671745,-86.551959,40M,VARA HF
KE6MYV,30.354167,-87.375,40M,VARA HF
KE7UIA,40.332233,-111.708707,VHF,VARA FM
KE8FMJ,-85.979167,-17.958333,,
KE8NRW,39.270833,-84.541667,40M,VARA HF
KE8RXN,43.020833,-85.791667,2M,PACKET
KE8ZEX,42.1875,-85.791667,TELNET,SMTP
KE9BAH,38.093667,-87.5115,80M,VARA HF
KE9CJA,41.270833,-88.958333,2M,PACKET
KF5PFC,32.979167,-96.875,VHF,VARA FM
KF7JZ,34.854167,-90.208333,40M,VARA HF
KG6YEM,30.055562,-81.650673,TELNET,SMTP
KG7WFQ,47.88,-122.293,80M,VARA HF
KI4NCG,37.395833,-77.541667,2M,VARA FM
KI5MFF,34.645833,-106.708333,2M,VARA FM
KI5MPX,35.144973,-101.908388,40M,VARA HF
KI7DGC,45.423498,-122.737011,2M,VARA FM
KI7HQA,36.229167,-116.041667,VHF,
KI8AF,46.520833,-87.375,40M,VARA HF
KJ4MZ,37.008667,-76.350333,2M,VARA FM
KJ7VGV,39.520833,-119.791667,80M,VARA HF
KK4TCE,38.644,-77.33,2M,PACKET
KK7IAA,41.104167,-104.791667,40M,VARA HF
KK7VQ,34.5625,-109.875,20M,VARA HF
KL4TH,64.854167,-147.708333,2M,PACKET
KL7RF,40.354167,-81.708333,40M,VARA HF
KM6SO,47.537346,-122.239027,40M,VARA HF
KN4BLF,36.770833,-76.291667,40M,VARA HF
KN4IOU,38.9375,-78.125,2M,PACKET
KN4LQN,37.354167,-77.625,2M,VARA FM
KN4YFI,38.1415,-78.913,80M,VARA HF
KN6EZF,40.604167,-122.375,40M,
KN6QR,34.2215,-112.746333,TELNET,SMTP
KN6ZDY,33.479167,-117.041667,VHF,PACKET
KO4IEG,36.785162,-76.129989,VHF,PACKET
KO4KAD,37.604167,-77.541667,40M,VARA HF
KO4L,34.1875,-79.875,VHF,VARA FM
KO4RYU,36.895833,-76.541667,2M,VARA FM
KO4ZTR,33.895833,-78.458333,2M,PACKET
KQ4BTC,33.895833,-78.458333,2M,PACKET
KQ4YZA,33.479167,-81.708333,TELNET,SMTP
KS4YX,34.729167,-82.958333,VHF,
KV4S,33.336833,-86.614333,2M,VARA FM
KW5X,33.927333,-116.448667,2M,VARA FM
LA5XIA,59.020833,10.041667,2M,VARA FM
N0BBD,38.5055,-90.944667,2M,VARA FM
N0MR,47.229167,-91.708333,2M,VARA FM
N0QBH,45.216667,-95.016667,VHF,VARA FM
N0RSR,32.854167,-111.791667,20M,VARA HF
N1DEC,41.222268,-73.00531,,
N1WEB,35.062333,-89.688167,40M,VARA HF
N2HTE,39.294833,-84.397,2M,PACKET
N2PEZ,42.123167,-76.9015,80M,VARA HF
N2QFD,42.081667,-76.853667,TELNET,SMTP
N2RDT,35.979167,-78.375,40M,VARA HF
N2RZZ,42.1875,-76.708333,2M,VARA FM
N3FLL,39.958833,-75.695667,80M,VARA HF
N3OJP,40.766667,-80.379833,VHF,VARA FM
N3RQV,39.0405,-77.0835,2M,VARA FM
N3VNO,40.1875,-76.458333,40M,VARA HF
N4ACK,36.828833,-76.736833,2M,PACKET
N4DPH,34.604167,-87.125,2M,VARA FM
N4SH,28.8125,-82.541667,40M,VARA HF
N4TFN,33.895333,-85.665167,80M,VARA HF
N4VEM,37.520833,-77.541667,2M,VARA FM
N5OBC,36.1875,-96.208333,HF,VARA HF
N5XHI,32.854167,-97.208333,40M,VARA HF
N6BHX,38.013627,-122.087172,2M,VARA FM
N7AKQ,40.574875,-111.877833,70CM,VARA FM
N7RYN,36.0625,-79.291667,40M,VARA HF
N7SZY,47.520833,-116.125,40M,VARA HF
N7XCF,47.520833,-116.208333,20M,VARA HF
N8BAY,41.17688,-81.406667,2M,VARA FM
N8JJW,42.087467,-86.462875,2M,VARA FM
N8JVC,42.215167,-85.870833,30M,VARA HF
N8KQS,44.479167,-87.958333,2M,PACKET
N8MRS,39.145833,-84.458333,40M,VARA HF
N9DK,37.386667,-122.090667,40M,VARA HF
N9JYJ,36.811758,-97.172485,2M,VARA FM
N9VPR,42.729167,-89.041667,2M,PACKET
NC4PB,35.020833,-78.958333,2M,VARA FM
NC9IL,39.729167,-89.625,2M,PACKET
NE9D,39.8125,-86.291667,2M,VARA FM
NK8B,39.859956,-84.315049,2M,VARA FM
NS2B,43.124,-77.458167,2M,VARA FM
NV7Y,36.142,-115.918333,40M,VARA HF
NW3X,41.4375,-75.625,80M,
NY3J,40.121833,-74.957833,2M,VARA FM
VA7XFM,49.104167,-122.625,HF,VARA HF
VE1LRL,44.6875,-63.625,VHF,VARA FM
VE7CUS,49.0625,-123.125,HF,VARA HF
W0RMT,39.979167,-105.125,,MESH
W1MJC,42.645833,-84.291667,2M,PACKET
W2ILT,39.821,-75.049,2M,VARA FM
W2JC,40.960667,-74.050333,2M,VARA FM
W2SKY,43.145,-77.448,2M,VARA FM
W3AFV,40.081,-75.389,2M,VARA FM
W3SGT,40.604167,-75.458333,40M,VARA HF
W4ISZ,27.270833,-80.458333,VHF,VARA FM
W4NMH,36.9375,-76.208333,HF,VARA HF
W4WCA,33.854167,-87.041667,VHF,VARA FM
W4WTN,36.052333,-85.264333,5CM,MESH
W5SJT,31.35801,-100.504687,30M,VARA HF
W5WWA,36.0625,-95.625,2M,PACKET
W6RTM,34.270833,-117.541667,80M,VARA HF
W7DEG,46.486,-87.282,40M,VARA HF
W7RNX,47.520833,-115.958333,40M,VARA HF
W8DSX,41.520833,-83.375,HF,VARA HF
W8RAY,39.895833,-83.458333,40M,VARA HF
W8RMN,42.4375,-85.708333,40M,VARA HF
W9RWB,41.688,-86.208,40M,VARA HF
W9TDP,43.077145,-89.466147,40M,VARA HF
WA0WHT,37.941167,-75.347667,40M,VARA HF
WA3PNY,40.524422,-75.56553,2M,PACKET
WA4KWK,28.441667,-82.485667,40M,VARA HF
WB0GAG,41.4275,-91.048333,20M,VARA FM
WB6DIK,33.783167,-116.291,2M,VARA FM
WB7TZD,45.648105,-122.65448,VHF,VARA FM
WB9TEN,41.645833,-85.791667,40M,ARDOP
WD0ETG,38.009833,-79.8375,HF,VARA HF
WJ0L,45.520833,-94.208333,20M,VARA HF
WJ4K,33.734667,-85.842167,40M,VARA HF
WR8RW,35.005,-82.309833,HF,VARA HF
WS4P,34.895833,-83.041667,2M,VARA FM
WX2DX,40.790924,-78.015891,40M,VARA HF
ZL2SEA,-35.124833,173.590333,80M,
